 0 0.0 0 0 7.72 5.557 9.447 -9.4470005 7.72
 1 5.557 9.447 -9.4470005 8.22 13.983 31.356 -10.571003 8.22
 2 13.983 31.356 -10.571003 8.5 15.649 38.022 -11.682003 8.5
 3 15.649 38.022 -11.682003 9.22 12.87 39.689 -13.905003 9.22
 4 12.87 39.689 -13.905003 8.89 11.759 45.242 -20.014002 8.89
 5 11.759 45.242 -20.014002 8.44 10.648 50.24 -19.459005 8.44
 6 10.648 50.24 -19.459005 8.61 8.899 53.738 -20.042006 8.61
 7 8.899 53.738 -20.042006 7.78 5.009 60.407 -23.376005 7.78
 8 5.009 60.407 -23.376005 8.44 -1.656 69.848 -22.265005 8.44
 9 -1.656 69.848 -22.265005 7.94 -6.099 69.848 -23.376005 7.94
 10 -6.099 69.848 -23.376005 5.39 -10.539 70.958 -22.821005 5.39
 11 -10.539 70.958 -22.821005 5.06 -23.873 72.069 -22.821005 5.06
 12 -23.873 72.069 -22.821005 4.83 -27.203 74.844 -23.376005 4.83
 13 -27.203 74.844 -23.376005 4.22 -33.317 80.402 -26.711004 4.22
 14 -33.317 80.402 -26.711004 4.22 -41.647 83.734 -27.822004 4.22
 15 -41.647 83.734 -27.822004 4 -45.535 89.288 -27.822004 4
 16 -45.535 89.288 -27.822004 5 -49.979 92.065 -27.822004 5
 17 -49.979 92.065 -27.822004 6.06 -51.645 97.62 -25.045004 6.06
 18 -51.645 97.62 -25.045004 5.17 -51.645 104.84 -28.933004 5.17
 19 -51.645 104.84 -28.933004 4.44 -52.755 109.28 -30.598005 4.44
 20 -52.755 109.28 -30.598005 4.33 -59.423 122.616 -30.59801 4.33
 21 -59.423 122.616 -30.59801 5 -63.312 135.95 -30.59801 5
 22 -63.312 135.95 -30.59801 5.78 -62.199 139.288 -31.711008 5.78
 23 -62.199 139.288 -31.711008 5.44 -62.199 141.508 -31.711008 5.44
 24 -62.199 141.508 -31.711008 4.33 -62.755 155.396 -32.267006 4.33
 25 -62.755 155.396 -32.267006 3.56 -62.2 158.725 -31.712008 3.56
 26 -62.2 158.725 -31.712008 3.83 -59.978 167.615 -31.156008 3.83
 27 -59.978 167.615 -31.156008 4.17 -60.533 174.834 -32.822006 4.17
 28 -60.533 174.834 -32.822006 4.78 -61.643 178.719 -32.822006 4.78
 29 -61.643 178.719 -32.822006 4.17 -67.754 180.386 -31.155008 4.17
 30 -1.656 69.848 -22.265005 8.06 5.009 78.735 -30.041006 8.06
 31 5.009 78.735 -30.041006 5.78 7.231 84.291 -30.597006 5.78
 32 7.231 84.291 -30.597006 5.28 6.122 85.955 -30.597006 5.28
 33 6.122 85.955 -30.597006 5.39 7.789 88.733 -30.597006 5.39
 34 7.789 88.733 -30.597006 5.72 7.234 93.732 -30.597006 5.72
 35 7.234 93.732 -30.597006 5.72 9.457 99.846 -29.485006 5.72
 36 9.457 99.846 -29.485006 6.17 12.236 110.96 -31.70801 6.17
 37 12.236 110.96 -31.70801 5.72 22.79 123.735 -31.15301 5.72
 38 22.79 123.735 -31.15301 5.17 29.457 135.403 -30.59701 5.17
 39 29.457 135.403 -30.59701 4.78 42.787 144.845 -33.37401 4.78
 40 42.787 144.845 -33.37401 4.17 50.562 153.731 -33.92901 4.17
 41 50.562 153.731 -33.92901 4.17 53.339 158.175 -33.92901 4.17
 42 53.339 158.175 -33.92901 4.17 56.116 164.84 -33.92901 4.17
 43 56.116 164.84 -33.92901 4 59.448 176.503 -33.92901 4
 44 59.448 176.503 -33.92901 3.44 66.114 182.614 -34.48501 3.44
 45 66.114 182.614 -34.48501 4.44 73.336 193.17 -34.48501 4.44
 46 73.336 193.17 -34.48501 5.28 72.78 199.837 -34.48501 5.28
 47 72.78 199.837 -34.48501 4.44 67.226 208.724 -34.48501 4.44
 48 67.226 208.724 -34.48501 4.78 62.782 215.946 -34.48501 4.78
 49 62.782 215.946 -34.48501 5.39 56.117 217.057 -35.04001 5.39
 50 56.117 217.057 -35.04001 4.83 53.336 216.501 -34.48401 4.83
 51 53.336 216.501 -34.48401 4.5 50.468 217.457 -34.16501 4.5
 52 12.236 110.96 -31.70801 5.06 5.013 116.516 -32.264008 5.06
 53 5.013 116.516 -32.264008 3.22 -2.208 121.515 -32.819008 3.22
 54 -2.208 121.515 -32.819008 4.56 -9.983 126.513 -32.264008 4.56
 55 -9.983 126.513 -32.264008 6 -11.094 128.179 -31.15301 6
 56 -11.094 128.179 -31.15301 6.17 -11.094 133.731 -31.70801 6.17
 57 -11.094 133.731 -31.70801 5.44 -13.869 137.061 -31.15301 5.44
 58 -13.869 137.061 -31.15301 4.17 -21.091 143.172 -34.486008 4.17
 59 -21.091 143.172 -34.486008 4.89 -24.978 146.504 -34.486008 4.89
 60 -24.978 146.504 -34.486008 4.72 -24.978 155.397 -33.930008 4.72
 61 -24.978 155.397 -33.930008 4.44 -27.758 160.956 -33.37401 4.44
 62 -27.758 160.956 -33.37401 5.61 -27.758 162.625 -35.043007 5.61
 63 -27.758 162.625 -35.043007 4.78 -30.535 172.623 -33.377007 4.78
 64 -30.535 172.623 -33.377007 5.44 -31.646 182.063 -34.488007 5.44
 65 -31.646 182.063 -34.488007 5.22 -28.312 187.619 -32.266006 5.22
 66 -28.312 187.619 -32.266006 3.44 -18.218 199.395 -31.705011 3.44
 67 -18.218 199.395 -31.705011 5.11 -13.774 208.839 -33.37201 5.11
 68 -13.774 208.839 -33.37201 6.06 -9.883 211.618 -36.15101 6.06
 69 13.983 31.356 -10.571003 5.28 20.093 30.801 -11.126003 5.28
